,AR1,AR3,HAR,LSTM,RC,HPT-QRC,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X
AR1,,0.000,0.000,0.000,0.000,0.956,0.002,0.000,0.000,0.004,0.999
AR3,-13.147,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
HAR,-11.573,12.345,,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000
LSTM,9.964,10.584,10.511,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RC,3.961,4.391,4.339,-3.596,,0.000,0.000,0.000,0.856,0.123,0.000
HPT-QRC,-0.056,12.282,11.034,-9.961,-3.965,,0.011,0.000,0.000,0.004,0.351
ARMAX,3.166,11.894,10.741,-9.811,-3.918,2.533,,0.000,0.000,0.006,0.011
HARX,-13.127,4.131,-12.137,-10.584,-4.390,-12.269,-11.877,,0.000,0.001,0.000
LSTMX,16.865,18.708,18.446,-5.351,0.182,16.213,16.774,18.703,,0.139,0.000
RCX,2.856,3.333,3.278,-5.309,-1.541,2.854,2.754,3.333,-1.478,,0.004
HPT-QRC-X,-0.001,12.327,11.069,-9.960,-3.964,0.934,-2.527,12.314,-16.214,-2.853,
