,AR1,AR3,HAR,LSTM,RC,HPT-QRC,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X
AR1,,0.000,0.000,0.000,0.001,0.632,0.020,0.000,0.000,0.002,0.669
AR3,-9.986,,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.000
HAR,-9.390,10.218,,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.000
LSTM,7.601,7.969,7.936,,0.021,0.000,0.000,0.000,0.000,0.037,0.000
RC,3.393,3.458,3.451,2.302,,0.001,0.001,0.001,0.004,0.952,0.001
HPT-QRC,-0.478,9.542,9.100,-7.624,-3.397,,0.029,0.000,0.000,0.002,0.272
ARMAX,2.327,8.843,8.321,-7.515,-3.389,2.179,,0.000,0.000,0.002,0.030
HARX,-9.976,3.768,-10.233,-7.968,-3.457,-9.545,-8.834,,0.000,0.002,0.000
LSTMX,11.164,12.230,12.109,-5.373,-2.865,10.942,10.884,12.227,,0.009,0.000
RCX,3.063,3.122,3.116,2.090,0.060,3.064,3.049,3.122,2.607,,0.002
HPT-QRC-X,-0.427,9.623,9.178,-7.624,-3.397,1.099,-2.166,9.626,-10.947,-3.064,
