,AR1,AR3,HAR,LSTM,RC,HPT-QRC,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X
AR1,,0.029,0.075,0.002,0.197,0.565,0.009,0.018,0.016,0.004,0.108
AR3,-2.190,,0.634,0.000,0.319,0.384,0.001,0.203,0.001,0.004,0.017
HAR,-1.780,0.476,,0.000,0.648,0.505,0.001,0.074,0.001,0.004,0.019
LSTM,3.140,3.763,3.758,,0.000,0.000,0.009,0.000,0.000,0.006,0.057
RC,-1.289,0.996,0.456,-3.782,,0.703,0.001,0.073,0.001,0.004,0.022
HPT-QRC,-0.575,0.870,0.666,-3.545,0.381,,0.003,0.100,0.004,0.004,0.022
ARMAX,2.602,3.435,3.423,-2.612,3.445,2.995,,0.000,0.525,0.005,0.674
HARX,-2.357,-1.274,-1.786,-4.109,-1.790,-1.643,-3.864,,0.000,0.004,0.006
LSTMX,2.411,3.368,3.314,-3.600,3.413,2.914,-0.636,4.027,,0.005,0.857
RCX,2.860,2.882,2.878,2.739,2.877,2.883,2.788,2.891,2.787,,0.006
HPT-QRC-X,1.609,2.394,2.352,-1.902,2.293,2.285,-0.421,2.772,-0.180,-2.773,
