,AR1,AR3,HAR,LSTM,RC,HPT-QRC,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X
AR1,,0.156,0.720,0.003,0.887,0.848,0.006,0.123,0.009,0.218,0.032
AR3,-1.419,,0.182,0.001,0.115,0.593,0.002,0.328,0.002,0.216,0.005
HAR,-0.358,1.333,,0.001,0.731,0.978,0.001,0.082,0.001,0.217,0.006
LSTM,2.949,3.289,3.337,,0.001,0.003,0.006,0.001,0.001,0.244,0.086
RC,-0.142,1.577,0.343,-3.343,,0.909,0.001,0.110,0.001,0.218,0.009
HPT-QRC,-0.191,0.534,0.028,-2.926,-0.114,,0.010,0.285,0.010,0.217,0.013
ARMAX,2.728,3.137,3.199,-2.730,3.229,2.575,,0.001,0.580,0.236,0.647
HARX,-1.541,-0.978,-1.738,-3.371,-1.598,-1.069,-3.205,,0.001,0.215,0.003
LSTMX,2.618,3.126,3.178,-3.323,3.179,2.569,-0.553,3.299,,0.235,0.759
RCX,1.232,1.237,1.234,1.166,1.232,1.234,1.186,1.240,1.189,,0.233
HPT-QRC-X,2.150,2.779,2.730,-1.717,2.609,2.472,-0.458,2.979,-0.306,-1.194,
